iter	Passed	Remaining
963	5784	216
964	5788	209
965	5793	203
966	5797	197
967	5802	191
968	5807	185
969	5811	179
970	5816	173
971	5820	167
972	5825	161
973	5830	155
974	5834	149
975	5839	143
976	5843	137
977	5848	131
978	5853	125
979	5857	119
980	5862	113
981	5866	107
982	5871	101
983	5876	95
984	5880	89
985	5885	83
986	5891	77
987	5897	71
988	5902	65
989	5908	59
990	5914	53
991	5920	47
992	5924	41
993	5929	35
994	5934	29
995	5938	23
996	5944	17
997	5949	11
998	5953	5
999	5958	0
